feature,importance
SE_mid50_range,0.022587912150961793
SE_mid50_std,0.021586638764744984
FS1_mid50_std,0.016059900159641594
SE_mid50_slope,0.012458796398839221
PS3_first25_std,0.012218879753219529
FS1_mid50_slope,0.011210733573040685
SE_last25_std,0.010476041959346902
SE_last25_range,0.010180478914116407
SE_mid50_min,0.008330240266085736
FS1_first25_std,0.007749129958211426
PS3_late_instability_shift,0.007209544827842717
FS1_last25_std,0.007194444931011646
FS1_last10_std,0.006731356435048195
FS1_mid50_range,0.0062798191497219205
PS1_first25_slope,0.006117991931659337
FS2_mean,0.005918654223628024
FS2_rms,0.005841213042574946
FS1_last10_range,0.0055008731813585105
PS3_cv,0.005405512920494635
FS1_first25_range,0.005290478315159435
FS2_last25_min,0.005263161654216253
PS2_last10_std,0.005123735890828315
FS2_last10_mean,0.005109097008749599
FS2_mid50_mean,0.005061545558062794
FS2_first25_mean,0.004955329385807268
PS1_last10_std,0.004930426697527942
EPS1_first25_slope,0.004812786869069958
SE_mid50_max,0.0047489009385512605
FS1_first,0.004653849271096071
TS1_last10_min,0.004615917609261086
PS1_last10_range,0.004595770858323637
TS4_last25_min,0.004539108366820844
FS1_late_instability_shift,0.004517629213045052
TS2_last25_mean,0.004501284211914356
FS2_last10_min,0.004427817357399435
TS4_last,0.004378550990299035
TS3_max,0.004239250607065848
TS4_mid50_min,0.004218490163335614
TS2_mid50_max,0.004168090314143975
FS2_mid50_min,0.00416185176839659
TS3_mid50_min,0.004160580460135293
FS2_last25_mean,0.00413607424529824
TS3_first25_min,0.004031609058790528
TS1_last25_min,0.004029825677129232
FS1_first25_max,0.0040249066628634915
TS4_mean,0.00399705061936689
TS3_last25_mean,0.003965125688100014
TS3_last25_min,0.003963905251053258
TS2_mean,0.0039508147134903835
FS1_cv,0.003931071092963293
SE_max,0.003920684424968871
TS1_first25_max,0.0039167148274253235
PS3_mid50_std,0.003907616906177681
PS5_last25_min,0.0038537956454522734
TS4_max,0.0038437398590346274
TS1_rms,0.00382363251401449
TS3_mid50_mean,0.0038195692773766517
TS2_first25_max,0.0038068848218761006
FS1_last25_range,0.003790898052596402
FS1_delta,0.0037865772124057724
TS2_max,0.003702572771496972
TS1_first25_min,0.003698130590635793
TS2_last10_min,0.0036587743671847184
FS2_max,0.0036525682265759083
TS1_mean,0.003647232158769996
PS6_mid50_max,0.0036006766464817346
FS2_min,0.0035967366823944327
TS2_last10_max,0.0035885866419755243
TS1_first,0.003576746326392593
TS4_first,0.003570578715428611
SE_range,0.00355204106870484
TS4_first25_max,0.0035420786978803695
TS1_min,0.0035065039992554134
TS4_mid50_max,0.0034879607328213024
SE_last25_max,0.0034777454948249522
FS2_first25_min,0.003472396302174766
TS4_last25_max,0.003470276483161118
TS1_mid50_mean,0.003464093068343732
TS2_last25_max,0.003462893025394023
TS2_last25_min,0.0034442859796581684
TS4_mid50_mean,0.0034411039910346324
PS5_last10_mean,0.0034351426149882573
TS2_rms,0.003430549067399288
TS3_mean,0.003405990579657013
TS4_last10_min,0.0033969416309892948
TS4_first25_min,0.0033958048363454405
TS1_last25_mean,0.0033791697458637796
FS2_last25_max,0.003351670210030195
TS3_rms,0.0033354540117672064
TS2_first25_min,0.003331097978569783
TS1_mid50_max,0.003327686143125343
TS1_last,0.003316106393692569
TS3_first,0.0032804529145172927
TS1_last10_mean,0.0032707939999894885
TS3_last10_mean,0.003267089580280313
TS1_max,0.003264198180475599
TS1_last25_max,0.003247693672721742
TS1_first25_mean,0.0032473811277178044
PS6_last10_max,0.0032224567365414674
TS4_rms,0.003216796047254311
PS1_last25_range,0.0031842485226085
FS1_range,0.003181138047331668
TS2_last10_mean,0.003178957012705696
TS4_min,0.003173303617510178
TS3_first25_max,0.003164119647400284
PS6_last10_mean,0.0031597476506016004
TS3_min,0.0031352462783229484
TS1_mid50_min,0.0031261635533828755
